,epochs,batch,lr,optimizer,criterion,loss
0,10,128,0.01,Adam,BCEWithLogitsLoss(),0.8954821228981018
1,10,128,0.01,Adam,BCEWithLogitsLoss(),-145.04266357421875
2,10,128,0.01,Adam,BCEWithLogitsLoss(),-763.7861938476562
3,10,128,0.01,Adam,BCEWithLogitsLoss(),-2201.273681640625
4,10,128,0.01,Adam,BCEWithLogitsLoss(),-3925.404052734375
5,10,128,0.01,Adam,BCEWithLogitsLoss(),-9787.6796875
6,10,128,0.01,Adam,BCEWithLogitsLoss(),-18134.17578125
7,10,128,0.01,Adam,BCEWithLogitsLoss(),-30938.421875
8,10,128,0.01,Adam,BCEWithLogitsLoss(),-37227.20703125
9,10,128,0.01,Adam,BCEWithLogitsLoss(),-57180.63671875
10,10,512,0.1,SGD,BCEWithLogitsLoss(),0.4467732906341553
11,10,512,0.1,SGD,BCEWithLogitsLoss(),-47.71331787109375
12,10,512,0.1,SGD,BCEWithLogitsLoss(),-2826.781982421875
13,10,512,0.1,SGD,BCEWithLogitsLoss(),-3534389.75
14,10,512,0.1,SGD,BCEWithLogitsLoss(),-2.2206681727369216e+17
15,10,512,0.1,SGD,BCEWithLogitsLoss(),
16,10,512,0.1,SGD,BCEWithLogitsLoss(),
17,10,512,0.1,SGD,BCEWithLogitsLoss(),
18,10,512,0.1,SGD,BCEWithLogitsLoss(),
19,10,512,0.1,SGD,BCEWithLogitsLoss(),
20,10,512,0.01,SGD,BCEWithLogitsLoss(),0.9541476964950562
21,10,512,0.01,SGD,BCEWithLogitsLoss(),-2.293588161468506
22,10,512,0.01,SGD,BCEWithLogitsLoss(),-7.309615135192871
23,10,512,0.01,SGD,BCEWithLogitsLoss(),-21.68840980529785
24,10,512,0.01,SGD,BCEWithLogitsLoss(),-69.25711059570312
25,10,512,0.01,SGD,BCEWithLogitsLoss(),-235.43795776367188
26,10,512,0.01,SGD,BCEWithLogitsLoss(),-731.3280029296875
27,10,512,0.01,SGD,BCEWithLogitsLoss(),-2488.1650390625
28,10,512,0.01,SGD,BCEWithLogitsLoss(),-11283.884765625
29,10,512,0.01,SGD,BCEWithLogitsLoss(),-106750.140625
30,10,128,0.001,Adam,BCEWithLogitsLoss(),2.337507963180542
31,10,128,0.001,Adam,BCEWithLogitsLoss(),-5.361674785614014
32,10,128,0.001,Adam,BCEWithLogitsLoss(),-10.034090042114258
33,10,128,0.001,Adam,BCEWithLogitsLoss(),-17.586673736572266
34,10,128,0.001,Adam,BCEWithLogitsLoss(),-35.064857482910156
35,10,128,0.001,Adam,BCEWithLogitsLoss(),-49.338539123535156
36,10,128,0.001,Adam,BCEWithLogitsLoss(),-64.16010284423828
37,10,128,0.001,Adam,BCEWithLogitsLoss(),-90.03060913085938
38,10,128,0.001,Adam,BCEWithLogitsLoss(),-155.832275390625
39,10,128,0.001,Adam,BCEWithLogitsLoss(),-152.12391662597656
